temple_name,district_name_en,address_text,latitude,longitude,source_note
Dhakeshwari National Temple,Dhaka,"Bakshi Bazar, Dhakeshwari Road, Dhaka",23.7226056,90.3900222,Puja Udjapan Parishad 2025
Ramna Kali Temple,Dhaka,"Beside Suhrawardy Udyan, Dhaka",23.7307,90.3996,Puja Udjapan Parishad 2025
Shree Shree Siddheswari Kalimandir,Dhaka,"14 Siddheshwari Lane, Dhaka",23.7440,90.4113,Puja Udjapan Parishad 2025
Joy Kali Temple,Dhaka,"24 Joy Kali Temple Street, Wari, Dhaka",,,Puja Udjapan Parishad 2025
Laxmi Narayan Mandir,Dhaka,"31 Nawabpur Road, Kotwali, Dhaka",,,Puja Udjapan Parishad 2025
Ramakrishna Mission Temple,Dhaka,Dhaka,,,Puja Udjapan Parishad 2025
ISKCON Swamibag Temple,Dhaka,"Swamibag, Dhaka",,,Puja Udjapan Parishad 2025
Sri Sri Raksha Kali Mata Temple,Dhaka,"Shakhari Bazar, Dhaka",,,Puja Udjapan Parishad 2025
Mirpur-2 Central Temple,Dhaka,"Mirpur-2, Dhaka",,,Puja Udjapan Parishad 2025
Mirpur-13 Central Temple,Dhaka,"Mirpur-13, Dhaka",,,Puja Udjapan Parishad 2025
Sri Sri Radha Krishna and Durga Temple,Dhaka,"Institute of Public Health (IPH), Mohakhali, Dhaka",,,Puja Udjapan Parishad 2025
Dhamrai Jagannath Roth,Dhaka,Dhamrai,,,Puja Udjapan Parishad 2025
Dhar Krishna Mandir,Dhaka,Dhamrai,,,Puja Udjapan Parishad 2025
Chatteshwari Temple,Chittagong,"20 Chatteshwari Road, Chittagong",22.35275,91.82605,Puja Udjapan Parishad 2025
Chandranath Temple,Chittagong,"Sitakunda Upazila, Chittagong",,,Puja Udjapan Parishad 2025
ISKCON Shree Radha Madhava Temple,Chittagong,Chittagong,,,Puja Udjapan Parishad 2025
Ramakrishna Mission,Chittagong,Chittagong,,,Puja Udjapan Parishad 2025
Sadarghat Kali Temple (Kali Bari),Chittagong,Chittagong,,,Puja Udjapan Parishad 2025
Sree Radhakrishna Temple,Chittagong,"Raipur, Mirsharai Upazila, Chittagong",,,Puja Udjapan Parishad 2025
Neem Kali Temple,Chittagong,"Kalipur, Banshkhali Upazila, Chittagong",,,Puja Udjapan Parishad 2025
Shuklambar Dighi Temple,Chittagong,"Chandanaish Upazila, Chittagong",,,Puja Udjapan Parishad 2025
Lalmai Chandi Temple,Cumilla,"Lalmai, Cumilla",,,Puja Udjapan Parishad 2025
Cumilla Jagannath Temple,Cumilla,Cumilla,,,Puja Udjapan Parishad 2025
Wahedpur Giri Dham,Cumilla,"Wahedpur, Cumilla",,,Puja Udjapan Parishad 2025
Sri Jagannath Bari Temple,Cumilla,"Laksam, Cumilla",,,Puja Udjapan Parishad 2025
Sri Sri Shiva and Chandi Mata Temple,Cumilla,"Lalmai, Cumilla",,,Puja Udjapan Parishad 2025
Kantaji Temple,Dinajpur,"Kantanagar, near Hajee Mohammed Danesh Science and Technology University, Dinajpur",25.79056,88.66667,Puja Udjapan Parishad 2025
Kaliya Jue Temple,Dinajpur,Dinajpur,,,Puja Udjapan Parishad 2025
Bagerhat Shiva Mandir,Bagerhat,"Karnapur, Bagerhat",,,Puja Udjapan Parishad 2025
Sri Sri Sitala Mandir,Bagerhat,"Bagerhat City",,,Puja Udjapan Parishad 2025
Dashani Public Worship Temple,Bagerhat,"Bagerhat City",,,Puja Udjapan Parishad 2025
Sugandha Shaktipeeth,Barisal,"Shikarpur, Barisal",,,Puja Udjapan Parishad 2025
Mahilara Sarkar Math,Barisal,Barisal,,,Puja Udjapan Parishad 2025
Shankar Math,Barisal,Barisal,,,Puja Udjapan Parishad 2025
Satsang Vihar Temple,Bandarban,"Meghla, Bandarban",,,Puja Udjapan Parishad 2025
Sri Sri Radha Giridhari Temple,Bandarban,Bandarban,,,Puja Udjapan Parishad 2025
Mayer Mondir,Bandarban,"Bandarban City",,,Puja Udjapan Parishad 2025
Kal Bhairab Temple,Brahmanbaria,Brahmanbaria,,,Puja Udjapan Parishad 2025
Pagal Shankar Jiu Temple,Brahmanbaria,"Fandauk, Brahmanbaria",,,Puja Udjapan Parishad 2025
Shri Mehar Kalibari Temple,Chandpur,Chandpur,,,Puja Udjapan Parishad 2025
Adinath Temple,Cox's Bazar,"Mainak Hill, Moheshkhali, Cox's Bazar",21.527820,91.974561,Puja Udjapan Parishad 2025
Sreedham Sreeangon,Faridpur,"Faridpur Sadar",,,Puja Udjapan Parishad 2025
Kal Vairob Mandir,Habiganj,"Balla, Habiganj",,,Puja Udjapan Parishad 2025
Jagannath Temple,Jessore,"Vatpara, Abhyanagar, Jessore",,,Puja Udjapan Parishad 2025
11-Shiva Temple,Jessore,"Vatpara, Abhyanagar, Jessore",,,Puja Udjapan Parishad 2025
Jagannath Temple,Jessore,"Keshabpur, Jessore",,,Puja Udjapan Parishad 2025
Kalodanga Kali Temple,Jessore,"Bagharpara, Jessore",,,Puja Udjapan Parishad 2025
Jora Shiva Temple,Jessore,"Murali mor, Jessore",,,Puja Udjapan Parishad 2025
Chanchra Shiva Temple,Jessore,Jessore,,,Puja Udjapan Parishad 2025
Sri Rup Sanatan Smriti Tirtha,Jessore,"Ramsara, Abhaynagar, Jessore",,,Puja Udjapan Parishad 2025
Radha Krisna Temple,Jessore,"Chourasta, Jessore",,,Puja Udjapan Parishad 2025
Sarbojonin Sri Sri Durga Temple,Joypurhat,"Shampur, Joypurhat",,,Puja Udjapan Parishad 2025
Jagannath Temple,Khagrachhari,Khagrachhari,,,Puja Udjapan Parishad 2025
Umananda Shiv Temple,Khulna,Khulna,,,Puja Udjapan Parishad 2025
Kalibari Temple,Khulna,Khulna,,,Puja Udjapan Parishad 2025
ISKCON Khulna,Khulna,Khulna,,,Puja Udjapan Parishad 2025
Shivbari Temple,Kishoreganj,Kishoreganj,,,Puja Udjapan Parishad 2025
Chandravati Temple,Kishoreganj,"Kishoreganj Sadar",,,Puja Udjapan Parishad 2025
Kalibari Temple,Kishoreganj,"Kishoreganj Sadar",,,Puja Udjapan Parishad 2025
Gopinath Temple,Kishoreganj,"Achmita, Katiyadi, Kishoreganj",,,Puja Udjapan Parishad 2025
Loknath Temple,Kishoreganj,Kishoreganj,,,Puja Udjapan Parishad 2025
Koteshwar Shiva Durga Temple,Kurigram,"Bhimsharma, Kurigram",,,Puja Udjapan Parishad 2025
Pangeswari Temple,Kurigram,"Rajarhat, Kurigram",,,Puja Udjapan Parishad 2025
Sri Sri Jagannath Namhatt Mandir,Kurigram,"Old Post Office Para, Kurigram",,,Puja Udjapan Parishad 2025
Sindurmati Tithadham,Lalmonirhat,Lalmonirhat,,,Puja Udjapan Parishad 2025
Banirdigi Iskcon Temple,Lalmonirhat,Lalmonirhat,,,Puja Udjapan Parishad 2025
Jora Bangla Temple,Madaripur,Madaripur,,,Puja Udjapan Parishad 2025
Sri Sri Ma Durga Temple,Magura,"Mandal Bari, Baliaghata, Sreepur, Magura",,,Puja Udjapan Parishad 2025
Patrikul Durga Temple,Moulvibazar,"Patrikul, Bhunabir, Sreemangal, Moulvibazar",,,Puja Udjapan Parishad 2025
Sri Srimangaleshwari Kali Temple,Moulvibazar,"Sreemangal, Moulvibazar",,,Puja Udjapan Parishad 2025
Sri Maheswari Durga Temple,Moulvibazar,"Saiarpur, Moulvibazar",,,Puja Udjapan Parishad 2025
Sonarang Twin Temples,Munshiganj,"Sonarang, Munshiganj",,,Puja Udjapan Parishad 2025
Shekhar Nagar Sri Raksha Kali Temple,Munshiganj,"Shirajdikhan, Munshiganj",,,Puja Udjapan Parishad 2025
